date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:15	18942/18942	---MCZ	200	added ('OK')	text/html	etag:W/%2249fe-CTQRfIz9SGskRzZ4YCCMeT+9G14%22	http://ghost.estudiopatagon.com/rein/the-editor/amp/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/the-editor/amp/index.html	(from http://ghost.estudiopatagon.com/rein/the-editor/)
15:50:17	26055/26055	---M--	200	added ('OK')	image/jpeg	etag:W/%2265c7-16c277ceb74%22	http://ghost.estudiopatagon.com/rein/content/images/size/w760h400/2019/07/photo-1494500764479-0c8f2919a3d8.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/size/w760h400/2019/07/photo-1494500764479-0c8f2919a3d8.jpg	(from http://ghost.estudiopatagon.com/rein/the-editor/)
15:50:19	16597/16597	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2240d5-4YItSxnfwpnYBVcShTeNsKPAfEk%22	http://ghost.estudiopatagon.com/rein/rein/the-editor/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/rein/the-editor/index.html	(from http://ghost.estudiopatagon.com/rein/the-editor/)
15:50:31	282285/282285	---M--	200	added ('OK')	image/jpeg	etag:W/%2244ead-16bfd0a1a8d%22	http://ghost.estudiopatagon.com/rein/content/images/2019/07/laura-cleffmann-t2GoWUGLgVo-unsplash.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/2019/07/laura-cleffmann-t2GoWUGLgVo-unsplash.jpg	(from http://ghost.estudiopatagon.com/rein/style-guide/)
15:50:42	65359/65359	---M--	200	added ('OK')	image/jpeg	etag:W/%22ff4f-16bfdc8821c%22	http://ghost.estudiopatagon.com/rein/content/images/size/w700h500/2019/07/austin-distel-M1aegHe2j6g-unsplash.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/size/w700h500/2019/07/austin-distel-M1aegHe2j6g-unsplash.jpg	(from http://ghost.estudiopatagon.com/rein/)
15:50:45	38310/38310	---MCZ	200	added ('OK')	text/html	etag:W/%2295a6-9FxSzDZ9qiOp/BmDaRlDXn7pSDY%22	http://ghost.estudiopatagon.com/rein/admin-settings/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/admin-settings/index.html	(from http://ghost.estudiopatagon.com/rein/)
15:50:47	200472/200472	---M--	200	added ('OK')	image/gif	etag:%22609025ba-30f18%22	https://static.ghost.org/v2.0.0/images/formatting-editor-demo.gif	E:/Omkar/Projects/Creative/Rein/static.ghost.org/v2.0.0/images/formatting-editor-demo.gif	(from http://ghost.estudiopatagon.com/rein/the-editor/)
15:50:47	20105/20105	---MCZ	200	added ('OK')	text/html	etag:W/%224e89-zfgUeFtRJuK4C3R+03Ea1EK0PX4%22	http://ghost.estudiopatagon.com/rein/organising-content/amp/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/organising-content/amp/index.html	(from http://ghost.estudiopatagon.com/rein/organising-content/)
15:50:48	4444/4444	---M--	200	added ('OK')	image/jpeg	etag:W/%22115c-16bfdc75b19%22	http://ghost.estudiopatagon.com/rein/content/images/size/w160h160/2019/07/photo-1530021232320-687d8e3dba54.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/size/w160h160/2019/07/photo-1530021232320-687d8e3dba54.jpg	(from http://ghost.estudiopatagon.com/rein/)
15:50:49	16597/16597	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2240d5-4YItSxnfwpnYBVcShTeNsKPAfEk%22	http://ghost.estudiopatagon.com/rein/rein/organising-content/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/rein/organising-content/index.html	(from http://ghost.estudiopatagon.com/rein/organising-content/)
15:50:49	226088/226088	---M--	200	added ('OK')	image/jpeg	etag:W/%2237328-16bfe563b6a%22	http://ghost.estudiopatagon.com/rein/content/images/2019/07/kal-visuals-QAB-WJcbgJk-unsplash.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/2019/07/kal-visuals-QAB-WJcbgJk-unsplash.jpg	(from http://ghost.estudiopatagon.com/rein/tag/lifestyle/)
15:50:50	7340/7340	---M--	200	added ('OK')	image/jpeg	etag:W/%221cac-16bee4c6331%22	http://ghost.estudiopatagon.com/rein/content/images/size/w160h160/2019/07/benjamin-suter-1589898-unsplash.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/size/w160h160/2019/07/benjamin-suter-1589898-unsplash.jpg	(from http://ghost.estudiopatagon.com/rein/)
15:51:03	77160/77160	---M--	200	added ('OK')	font/woff2	etag:W/%2212d68-16e0fa14351%22	http://ghost.estudiopatagon.com/rein/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/assets/fonts/fontawesome-webfont3e6e.woff2	(from http://ghost.estudiopatagon.com/rein/assets/dist/plugins.min.css?v=e1d678e3e0)
15:51:05	18536/18536	---MCZ	200	added ('OK')	text/html	etag:W/%224868-3ZZTzNGsGpaYXPKyhD/J5bWp29g%22	http://ghost.estudiopatagon.com/rein/themes/amp/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/themes/amp/index.html	(from http://ghost.estudiopatagon.com/rein/themes/)
15:51:07	120348/120348	---M--	200	added ('OK')	font/woff	etag:W/%221d61c-16e0fa14351%22	http://ghost.estudiopatagon.com/rein/assets/fonts/remixicon.woff?t=1556503613854	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/assets/fonts/remixicon5a65.woff	(from http://ghost.estudiopatagon.com/rein/assets/dist/plugins.min.css?v=e1d678e3e0)
15:51:11	283172/283172	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2245224-16e0fa14351%22	http://ghost.estudiopatagon.com/rein/assets/fonts/remixicon.eot?t=1556503613854	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/assets/fonts/remixicon5a65.eot	(from http://ghost.estudiopatagon.com/rein/assets/dist/plugins.min.css?v=e1d678e3e0)
15:51:13	16597/16597	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2240d5-4YItSxnfwpnYBVcShTeNsKPAfEk%22	http://ghost.estudiopatagon.com/rein/rein/themes/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/rein/themes/index.html	(from http://ghost.estudiopatagon.com/rein/themes/)
15:51:16	61795/61795	---M--	200	added ('OK')	image/jpeg	etag:W/%22f163-16c2a25f280%22	http://ghost.estudiopatagon.com/rein/content/images/size/w600h450/2019/07/benjamin-suter-1589898-unsplash-2.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/size/w600h450/2019/07/benjamin-suter-1589898-unsplash-2.jpg	(from http://ghost.estudiopatagon.com/rein/themes/)
15:51:17	17901/17901	---MCZ	200	added ('OK')	text/html	etag:W/%2245ed-Ew/pbf5Alpr9vULWlBJ8x7Xnh74%22	http://ghost.estudiopatagon.com/rein/syntax-highlight-code-example/amp/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/syntax-highlight-code-example/amp/index.html	(from http://ghost.estudiopatagon.com/rein/syntax-highlight-code-example/)
15:51:19	80158/80158	---M--	200	added ('OK')	image/jpeg	etag:%22609025ba-1391e%22	https://static.ghost.org/v1.0.0/images/marketplace.jpg	E:/Omkar/Projects/Creative/Rein/static.ghost.org/v1.0.0/images/marketplace.jpg	(from http://ghost.estudiopatagon.com/rein/themes/)
15:51:22	16597/16597	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2240d5-4YItSxnfwpnYBVcShTeNsKPAfEk%22	http://ghost.estudiopatagon.com/rein/rein/syntax-highlight-code-example/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/rein/syntax-highlight-code-example/index.html	(from http://ghost.estudiopatagon.com/rein/syntax-highlight-code-example/)
